Proses_Bisnis,No,Kelompok_Aktivitas,Pelaksana,Input,Aktivitas,Output,Penerima_Output,Simbol_BPMN
Pelayanan Kesehatan Ibu Hamil (Bumil),1,Pemicu Proses,Ibu Hamil,Kebutuhan pemeriksaan antenatal rutin; jadwal posyandu,Ibu hamil datang ke posyandu untuk pemeriksaan kehamilan berkala,Pemberitahuan kedatangan ibu hamil,Kader Pendaftaran,Start Event
Pelayanan Kesehatan Ibu Hamil (Bumil),2,Administratif,Kader Pendaftaran,Nama ibu hamil / Kartu QR / Buku KIA,Melakukan pendaftaran atau pencarian data ibu hamil di Portal Nyawiji (memastikan opsi Pasien Bumil aktif),Data profil ibu hamil terverifikasi,Kader & Bidan Desa,Task
Pelayanan Kesehatan Ibu Hamil (Bumil),3,Pengumpulan Data,Kader & Bidan Desa,Timbangan; microtoise; pita LiLA; tensimeter; alat strip HB (jika tersedia),Melakukan pengukuran BB; TB; LiLA; tekanan darah (sistolik & diastolik); usia kehamilan (minggu); dan uji kadar HB,Hasil pengukuran antropometri dan tanda vital maternal tercatat,Bidan Desa,Task
Pelayanan Kesehatan Ibu Hamil (Bumil),4,Pemeriksaan,Bidan Desa / Kader,Hasil pengukuran fisik; gejala batuk/demam,Menginput data ke form pengukuran bumil; melakukan skrining gejala TB maternal; mencatat riwayat keluhan kehamilan,Data pemeriksaan antenatal terinput,Sistem Portal Nyawiji,Task
Pelayanan Kesehatan Ibu Hamil (Bumil),5,Telaah/Analisis,Sistem Portal Nyawiji,Nilai LiLA; Tensi sistolik/diastolik; kadar HB; riwayat kenaikan BB,Menganalisis otomatis ambang batas klinis: status KEK (LiLA < 23.5 cm); Hipertensi Gestasional (Sistolik >= 140 atau Diastolik >= 90); Anemia (HB < 11 g/dL),Hasil analisis risiko maternal terindikasi,Bidan Desa,Task
Pelayanan Kesehatan Ibu Hamil (Bumil),6,Keputusan,Bidan Desa,Hasil analisis indikator risiko kehamilan,Menentukan klasifikasi risiko kehamilan: Kehamilan Normal vs Kehamilan Risiko Tinggi,Keputusan penanganan kehamilan,Branching Logic,Gateway
Pelayanan Kesehatan Ibu Hamil (Bumil),7,Koordinasi,Bidan Desa,Status kehamilan risiko tinggi (KEK / Hipertensi / Anemia / TB Berisiko),Menerbitkan rujukan terencana ke Puskesmas/RS; koordinasi pendampingan bidan; penjadwalan ANC terpadu dokter,Surat rujukan ANC terpadu; jadwal rujukan,Puskesmas & Ibu Hamil,Sub Process
Pelayanan Kesehatan Ibu Hamil (Bumil),8,Distribusi,Bidan Desa & Kader,Status kehamilan risiko rendah / normal,Memberikan Tablet Tambah Darah (TTD); konseling gizi seimbang bumil; edukasi tanda bahaya persalinan dan P4K,Ibu hamil menerima suplemen TTD dan edukasi kehamilan sehat,Ibu Hamil,Task
Pelayanan Kesehatan Ibu Hamil (Bumil),9,Penyimpanan Data,Sistem Portal Nyawiji,Data antenatal lengkap terverifikasi,Melakukan penyimpanan otomatis (autosave) ke basis data pusat dan pembaruan riwayat kesehatan ibu,Riwayat antenatal digital tersimpan,Database Posyandu,Data Store
Pelayanan Kesehatan Ibu Hamil (Bumil),10,Penutupan,Kader & Bidan Desa,Data tersimpan lengkap; status sesi selesai,Mencatat resume di Buku KIA fisik dan menetapkan jadwal kunjungan ulang bulan depan,Ibu hamil menerima jadwal kunjungan ulang dan edukasi take-home,Ibu Hamil,End Event
Pelayanan Kesehatan Usia Sekolah dan Remaja (7-17 Tahun),1,Pemicu Proses,Remaja,Jadwal kegiatan Posyandu Remaja / Posyandu Siklus Hidup,Remaja menghadiri posyandu untuk pemantauan kesehatan berkala,Pemberitahuan kedatangan remaja,Kader Pendaftaran,Start Event
Pelayanan Kesehatan Usia Sekolah dan Remaja (7-17 Tahun),2,Administratif,Kader Pendaftaran,Kartu QR / Nama lengkap / Tanggal lahir,Melakukan registrasi remaja baru atau pencarian data remaja di Portal Nyawiji,Data profil remaja terverifikasi,Kader Pengukur,Task
Pelayanan Kesehatan Usia Sekolah dan Remaja (7-17 Tahun),3,Pengumpulan Data,Kader Posyandu,Timbangan; microtoise; pita lingkar perut; tensimeter; snellen chart / tes bisik; alat ukur HB,Melakukan pengukuran BB; TB; lingkar perut; tensi darah; skrining indra penglihatan/pendengaran; tes HB (khusus remaja putri),Data pemeriksaan fisik dan skrining remaja tercatat,Kader Pencatatan,Task
Pelayanan Kesehatan Usia Sekolah dan Remaja (7-17 Tahun),4,Pemeriksaan,Kader Pencatatan,Data hasil pengukuran dan skrining,Menginput hasil pengukuran BB/TB; tensi; lingkar perut; hasil skrining mata/telinga; status TB; nilai HB ke sistem,Data pemeriksaan remaja terinput lengkap,Sistem Portal Nyawiji,Task
Pelayanan Kesehatan Usia Sekolah dan Remaja (7-17 Tahun),5,Telaah/Analisis,Sistem Portal Nyawiji,Data BB/TB; Tensi; HB; skrining indra,Menghitung nilai IMT otomatis; mengevaluasi batas tensi tinggi (>=140/90); anemia (HB <12 g/dL); dan skrining indra tidak normal,Hasil evaluasi status gizi dan kesehatan remaja,Petugas Puskesmas / Kader,Task
Pelayanan Kesehatan Usia Sekolah dan Remaja (7-17 Tahun),6,Keputusan,Petugas Puskesmas / Bidan Desa,Hasil evaluasi klinis dan skrining remaja,Menentukan status kesehatan remaja: Sehat / Normal vs Ditemukan Masalah Kesehatan (Anemia/Hipertensi/Gangguan Indra/TB),Keputusan tindak lanjut,Branching Logic,Gateway
Pelayanan Kesehatan Usia Sekolah dan Remaja (7-17 Tahun),7,Koordinasi,Petugas Puskesmas & Kader,Hasil skrining abnormal / anemia berat / TB berisiko,Melakukan konseling kesehatan reproduksi & gizi khusus; koordinasi rujukan ke fasilitas kesehatan tingkat pertama (Puskesmas),Surat rujukan Puskesmas; rekomendasi intervensi,Puskesmas & Remaja,Sub Process
Pelayanan Kesehatan Usia Sekolah dan Remaja (7-17 Tahun),8,Distribusi,Kader Posyandu,Hasil skrining normal / sehat,Memberikan Tablet Tambah Darah (TTD bagi remaja putri); penyuluhan gizi seimbang; edukasi pencegahan pernikahan dini dan bahaya merokok,Remaja menerima suplemen TTD dan wawasan kesehatan,Remaja,Task
Pelayanan Kesehatan Usia Sekolah dan Remaja (7-17 Tahun),9,Penyimpanan Data,Sistem Portal Nyawiji,Seluruh data pengukuran dan catatan skrining,Menyimpan data pengukuran sesi remaja ke database secara otomatis dan memperbarui rekam jejak kesehatan,Data kesehatan remaja tersimpan aman,Database Posyandu,Data Store
Pelayanan Kesehatan Usia Sekolah dan Remaja (7-17 Tahun),10,Penutupan,Kader Posyandu,Data sesi lengkap; status selesai,Menyampaikan hasil pemeriksaan kepada remaja dan menjadwalkan pertemuan posyandu remaja bulan berikutnya,Remaja memahami status kesehatan dan menerima jadwal sesi berikutnya,Remaja,End Event
Pelayanan Kesehatan Usia Produktif dan Lansia (Dewasa & Lansia),1,Pemicu Proses,Warga Usia Produktif & Lansia,Kebutuhan skrining berkala PTM; jadwal posyandu siklus hidup,Warga dewasa (18-59 th) atau lansia (60+ th) hadir di posyandu,Pemberitahuan kehadiran warga dewasa/lansia,Kader Pendaftaran,Start Event
Pelayanan Kesehatan Usia Produktif dan Lansia (Dewasa & Lansia),2,Administratif,Kader Pendaftaran,Kartu QR / KTP / Nama lengkap,Mengidentifikasi data warga di sistem Portal Nyawiji (kategori otomatis DEWASA atau LANSIA berdasarkan tanggal lahir),Data warga terverifikasi aktif,Kader Pengukur,Task
Pelayanan Kesehatan Usia Produktif dan Lansia (Dewasa & Lansia),3,Pengumpulan Data,Kader & Petugas Kesehatan,Timbangan; alat ukur tinggi; pita lingkar perut; tensimeter digital; glukometer; strip kolesterol; strip asam urat,Melakukan pengukuran BB; TB; lingkar perut; tensi darah; skrining indra; tes Point of Care Testing (GDS, kolesterol, asam urat),Data antropometri dan hasil tes lab sederhana tercatat,Kader Pencatatan,Task
Pelayanan Kesehatan Usia Produktif dan Lansia (Dewasa & Lansia),4,Pemeriksaan,Kader Pencatatan,Data hasil pengukuran dan tes lab,Menginput data BB, TB, lingkar perut, tensi, nilai GDS, kolesterol, asam urat, skrining indra, dan skrining TB ke tab Input Hari Ini,Data pemeriksaan dewasa/lansia terinput di sistem,Sistem Portal Nyawiji,Task
Pelayanan Kesehatan Usia Produktif dan Lansia (Dewasa & Lansia),5,Telaah/Analisis,Sistem Portal Nyawiji,Data nilai klinis laboratorium dan antropometri,Mengevaluasi otomatis ambang batas klinis: Hipertensi (>=140/90); GDS Tinggi (>=126 mg/dL); Kolesterol Tinggi (>=200 mg/dL); Asam Urat Tinggi (Pria >7.0, Wanita >6.0 mg/dL); Obesitas Sentral,Penandaan status abnormal/berisiko otomatis pada dashboard,Tenaga Kesehatan Puskesmas,Task
Pelayanan Kesehatan Usia Produktif dan Lansia (Dewasa & Lansia),6,Keputusan,Tenaga Kesehatan Puskesmas / Bidan,Hasil penandaan indikator risiko PTM dan skrining TB,Menentukan klasifikasi status kesehatan warga: Parameter Normal / Terkontrol vs Risiko Tinggi PTM / TB Berisiko,Keputusan penanganan klinis,Branching Logic,Gateway
Pelayanan Kesehatan Usia Produktif dan Lansia (Dewasa & Lansia),7,Koordinasi,Tenaga Kesehatan Puskesmas,Kondisi risiko tinggi PTM / krisis hipertensi / diabetes tak terkontrol / TB berisiko,Melakukan tata laksana medis awal; menerbitkan surat rujukan ke poli umum Puskesmas untuk terapi farmakologis terstandar,Surat rujukan medis PTM; catatan intervensi nakes,Puskesmas & Pasien,Sub Process
Pelayanan Kesehatan Usia Produktif dan Lansia (Dewasa & Lansia),8,Distribusi,Kader Posyandu & Nakes,Kondisi normal / terkontrol,Memberikan edukasi pola hidup sehat CERDIK/GERMAS; panduan diet rendah garam/gula/lemak; senam lansia,Warga mendapatkan konsultasi gaya hidup sehat,Warga Usia Produktif & Lansia,Task
Pelayanan Kesehatan Usia Produktif dan Lansia (Dewasa & Lansia),9,Penyimpanan Data,Sistem Portal Nyawiji,Seluruh catatan pemeriksaan dan tindakan,Menyimpan seluruh data ke basis data pusat dan memperbarui profil faktor risiko individu,Data rekam medis posyandu terbarukan,Database Posyandu,Data Store
Pelayanan Kesehatan Usia Produktif dan Lansia (Dewasa & Lansia),10,Penutupan,Kader Posyandu,Data sesi lengkap; status selesai,Menyampaikan kartu hasil pemeriksaan dan menjadwalkan pemeriksaan posyandu bulan berikutnya,Warga menerima catatan kesehatan dan jadwal sesi berikutnya,Warga Usia Produktif & Lansia,End Event
Validasi Sinkronisasi Offline-First dan Rekapitulasi Pelayanan Posyandu,1,Pemicu Proses,Kader Posyandu,Selesainya seluruh alur pelayanan hari buka posyandu,Kader menutup sesi pelayanan dan membuka panel ringkasan,Pemberitahuan penutupan sesi posyandu,Kader Posyandu,Start Event
Validasi Sinkronisasi Offline-First dan Rekapitulasi Pelayanan Posyandu,2,Administratif,Kader Posyandu,Daftar pasien hari ini; badge kelengkapan data,Memeriksa status kelengkapan data seluruh peserta (memastikan tidak ada status 'Diukur sebagian' yang tertinggal),Daftar kelengkapan data terverifikasi,Kader Posyandu,Task
Validasi Sinkronisasi Offline-First dan Rekapitulasi Pelayanan Posyandu,3,Telaah/Analisis,Sistem Portal Nyawiji (Offline Engine),Antrean lokal IndexedDB; status konektivitas perangkat,Memeriksa status jaringan (online/offline) dan memeriksa antrean data yang belum tersinkronisasi ke server,Status antrean sinkronisasi terdeteksi,Sistem Portal Nyawiji,Task
Validasi Sinkronisasi Offline-First dan Rekapitulasi Pelayanan Posyandu,4,Keputusan,Sistem Portal Nyawiji,Status konektivitas internet (Tersedia / Terputus),Mengevaluasi ketersediaan jaringan internet untuk proses sinkronisasi,Keputusan jalur sinkronisasi,Branching Logic,Gateway
Validasi Sinkronisasi Offline-First dan Rekapitulasi Pelayanan Posyandu,5,Koordinasi,Kader Posyandu,Jaringan internet terputus (Offline),Menjaga sesi aplikasi tetap aktif (tidak logout); mencari lokasi dengan sinyal stabil untuk memicu auto-sync,Prosedur mitigasi luring terlaksana,Kader Posyandu,Task
Validasi Sinkronisasi Offline-First dan Rekapitulasi Pelayanan Posyandu,6,Distribusi,Sistem Portal Nyawiji,Jaringan internet terhubung (Online); antrean sinkronisasi,Mengirimkan seluruh payload antrean lokal ke endpoint server API dengan mekanisme deduplikasi client-id,Data antrean lokal berhasil diunggah ke database server,Database Server Pusat,Task
Validasi Sinkronisasi Offline-First dan Rekapitulasi Pelayanan Posyandu,7,Penyimpanan Data,Database Server Pusat,Data hasil pengukuran tervalidasi,Melakukan rekonsiliasi data dan menyimpan rekor permanen di database pusat,Basis data pusat posyandu tersinkronisasi 100%,Database Server Pusat,Data Store
Validasi Sinkronisasi Offline-First dan Rekapitulasi Pelayanan Posyandu,8,Distribusi,Kader Posyandu,Menu Export Data; parameter filter (periode bulan ini),Membuka panel Export Data; memilih cakupan (Ringkasan, Anggota, Detail, Berisiko); melakukan preview data,Pratinjau rekapitulasi data posyandu siap unduh,Kader Posyandu,Task
Validasi Sinkronisasi Offline-First dan Rekapitulasi Pelayanan Posyandu,9,Koordinasi,Kader Posyandu,Tombol Unduh Excel,Mengunduh berkas laporan resmi Excel Posyandu dan menyerahkan file rekapitulasi ke Pembina Puskesmas,Berkas rekapitulasi resmi Excel Posyandu (Ringkasan, Anggota, Detail, Berisiko),Staf Pembina Puskesmas,Sub Process
Validasi Sinkronisasi Offline-First dan Rekapitulasi Pelayanan Posyandu,10,Penutupan,Kader Posyandu,Bukti penyerahan laporan posyandu,Mencatat arsip pelayanan bulanan posyandu selesai dan menutup aplikasi secara aman,Proses administrasi dan pelaporan posyandu selesai,Kader Posyandu,End Event
Pembinaan Wilayah Pengawasan Pelayanan dan Pengelolaan Akun oleh Puskesmas,1,Pemicu Proses,Staf / Admin Puskesmas,Jadwal supervisi bulanan / permohonan reset password / persiapan Lokakarya Mini,Staf Puskesmas mengakses Portal Nyawiji dengan kredensial instansi,Pemberitahuan akses admin Puskesmas,Staf Puskesmas,Start Event
Pembinaan Wilayah Pengawasan Pelayanan dan Pengelolaan Akun oleh Puskesmas,2,Administratif,Staf Puskesmas,Username Puskesmas; Password,Melakukan login ke portal Puskesmas dan membuka menu Dashboard Binaan,Sesi kerja staf Puskesmas terotentikasi,Staf Puskesmas,Task
Pembinaan Wilayah Pengawasan Pelayanan dan Pengelolaan Akun oleh Puskesmas,3,Pengumpulan Data,Sistem Portal Nyawiji,Database seluruh posyandu di wilayah kerja Puskesmas,Menampilkan ringkasan agregat: total posyandu binaan; total pasien terdaftar; total pengukuran; tren partisipasi bulanan,Dashboard analitik wilayah Puskesmas tampil,Staf Puskesmas,Task
Pembinaan Wilayah Pengawasan Pelayanan dan Pengelolaan Akun oleh Puskesmas,4,Telaah/Analisis,Staf Puskesmas & Bidan Koordinator,Data analitik distribusi status gizi (stunting, wasting); temuan 2T; temuan berisiko PTM,Menganalisis performa capaian kesehatan tiap posyandu dan mengidentifikasi posyandu dengan anomali data/kasus tinggi,Daftar posyandu prioritas pembinaan dan kasus 2T teridentifikasi,Staf Puskesmas,Task
Pembinaan Wilayah Pengawasan Pelayanan dan Pengelolaan Akun oleh Puskesmas,5,Keputusan,Staf Puskesmas,Kebutuhan operasional: Supervisi Data vs Manajemen Akun Posyandu,Menentukan jalur tindakan operasional Puskesmas,Keputusan modul operasional,Branching Logic,Gateway
Pembinaan Wilayah Pengawasan Pelayanan dan Pengelolaan Akun oleh Puskesmas,6,Pemeriksaan,Staf Puskesmas,Fitur Buka Meja pada posyandu target,Membuka meja posyandu terpilih dalam mode Read-Only untuk memvalidasi detail pencatatan kader tanpa risiko merusak data,Hasil audit pencatatan data posyandu terverifikasi,Staf Puskesmas,Task
Pembinaan Wilayah Pengawasan Pelayanan dan Pengelolaan Akun oleh Puskesmas,7,Administratif,Staf Puskesmas,Permohonan pembuatan posyandu baru / reset password / rotasi kader,Melakukan pendaftaran posyandu baru, mengeksekusi reset password posyandu, atau menonaktifkan akun posyandu non-aktif,Status kredensial akun posyandu binaan terkelola,Kader Posyandu,Task
Pembinaan Wilayah Pengawasan Pelayanan dan Pengelolaan Akun oleh Puskesmas,8,Koordinasi,Staf Puskesmas,Fitur Rekap Wilayah; pilihan filter multi-posyandu binaan,Mengekspor laporan konsolidasi wilayah (maksimal 30 posyandu / 20.000 baris) untuk bahan rapat evaluasi dan Lokakarya Mini,Berkas Excel Rekapitulasi Wilayah Puskesmas terunduh,Tim Manajemen Puskesmas,Sub Process
Pembinaan Wilayah Pengawasan Pelayanan dan Pengelolaan Akun oleh Puskesmas,9,Penyimpanan Data,Database Server Pusat,Perubahan status akun; log aktivitas supervisi,Menyimpan seluruh perubahan status akun dan rekam log tata kelola posyandu ke database,Basis data tata kelola wilayah terbarui,Database Server Pusat,Data Store
Pembinaan Wilayah Pengawasan Pelayanan dan Pengelolaan Akun oleh Puskesmas,10,Penutupan,Staf Puskesmas,Laporan audit dan rekapitulasi wilayah selesai,Menerbitkan rekomendasi pembinaan kepada kader posyandu dan mengarsipkan rekapitulasi bulanan,Supervisi dan tata kelola akun posyandu selesai,Staf Puskesmas & Kader,End Event
Tata Kelola Master Data Wilayah Agregasi Kebijakan dan Evaluasi Kesehatan oleh Dinas Kesehatan,1,Pemicu Proses,Admin Dinkes Kabupaten,Kebutuhan sinkronisasi master wilayah / pemutakhiran standar gizi / evaluasi kebijakan kesehatan daerah,Admin Dinkes mengakses Portal Nyawiji tingkat kabupaten,Pemberitahuan akses Super Admin Dinkes,Admin Dinkes,Start Event
Tata Kelola Master Data Wilayah Agregasi Kebijakan dan Evaluasi Kesehatan oleh Dinas Kesehatan,2,Administratif,Admin Dinkes,Kredensial Super Admin Dinkes,Melakukan otentikasi login dengan proteksi multi-level dan membuka Dashboard Kabupaten,Sesi Super Admin Dinkes aktif,Admin Dinkes,Task
Tata Kelola Master Data Wilayah Agregasi Kebijakan dan Evaluasi Kesehatan oleh Dinas Kesehatan,3,Pengumpulan Data,Sistem Portal Nyawiji,Database seluruh Puskesmas dan Posyandu se-Kabupaten Gunungkidul,Menampilkan dashboard makro: total puskesmas; total posyandu; cakupan pengukuran agregat se-kabupaten,Dashboard agregat kabupaten tampil,Admin Dinkes,Task
Tata Kelola Master Data Wilayah Agregasi Kebijakan dan Evaluasi Kesehatan oleh Dinas Kesehatan,4,Telaah/Analisis,Admin Dinkes & Kepala Seksi Kesmas,Data agregat tren stunting; wasting; capaian N/T se-kabupaten; sebaran risiko PTM,Mengevaluasi efektivitas intervensi gizi dan kesehatan lintas Kapanewon secara agregat tanpa mengekspos data pribadi/nama pasien,Laporan evaluasi tren kesehatan masyarakat kabupaten,Dinas Kesehatan,Task
Tata Kelola Master Data Wilayah Agregasi Kebijakan dan Evaluasi Kesehatan oleh Dinas Kesehatan,5,Keputusan,Admin Dinkes,Kebutuhan pemeliharaan: Pemutakhiran Master Data vs Pemeliharaan Growth Engine,Menentukan tindakan tata kelola sistem,Keputusan pemeliharaan sistem,Branching Logic,Gateway
Tata Kelola Master Data Wilayah Agregasi Kebijakan dan Evaluasi Kesehatan oleh Dinas Kesehatan,6,Administratif,Admin Dinkes,File Excel/CSV data master posyandu & puskesmas se-kabupaten,Melakukan import massal data wilayah dengan fitur auto-detect puskesmas dan pembuatan akun instansi otomatis,Master data wilayah Kapanewon; Kalurahan; Padukuhan; Posyandu terintegrasi,Sistem Portal Nyawiji,Task
Tata Kelola Master Data Wilayah Agregasi Kebijakan dan Evaluasi Kesehatan oleh Dinas Kesehatan,7,Koordinasi,Admin Dinkes & Sistem Engine,Perubahan algoritma / tabel referensi antropometri Permenkes 2/2020,Mengeksekusi Backfill Growth Engine untuk menghitung ulang nilai Z-score pada seluruh data historis balita,Data historis Z-score terbarui secara konsisten,Database Server Pusat,Sub Process
Tata Kelola Master Data Wilayah Agregasi Kebijakan dan Evaluasi Kesehatan oleh Dinas Kesehatan,8,Distribusi,Admin Dinkes,Panel Rekap Kabupaten; rentang periode hingga 24 bulan,Mengunduh rekapitulasi agregat murni per Puskesmas dan per Posyandu untuk bahan pelaporan ke Bupati dan Kementerian Kesehatan,Berkas Excel Rekapitulasi Agregat Kesehatan Kabupaten,Bupati & Kemenkes RI,Task
Tata Kelola Master Data Wilayah Agregasi Kebijakan dan Evaluasi Kesehatan oleh Dinas Kesehatan,9,Penyimpanan Data,Database Server Pusat,Master data wilayah baru; log pembaruan Z-score,Menyimpan seluruh konfigurasi master data dan rekam audit sistem ke basis data pusat,Basis data master kabupaten terbarui,Database Server Pusat,Data Store
Tata Kelola Master Data Wilayah Agregasi Kebijakan dan Evaluasi Kesehatan oleh Dinas Kesehatan,10,Penutupan,Admin Dinkes,Seluruh proses pemeliharaan dan pelaporan tuntas,Menutup sesi administratif dan mendistribusikan laporan kebijakan daerah ke stakeholder terkait,Tata kelola data kesehatan kabupaten selesai,Admin Dinkes & Stakeholder Daerah,End Event
